Year,Cost
1990,2080
1991,2770
1992,3090
1993,3360
1994,3520
1995,3730
1996,3910
1997,4060
1998,4200
1999,4510
2000,4690
2001,4780
2002,5590
2003,5930
2004,6290
2005,6600
2006,6860
2007,7250
2008,7570
2009,8000
2010,8410
2011,8910
2012,9210
2013,9430
2014,9790
2015,10090
2016,10410
2017,10730
2018,11020
2019,11280
2020,11330
2021,11570
2022,11840
2023,12110
