Year,Cost
1990,1180
1991,1270
1992,1410
1993,1550
1994,1730
1995,1870
1996,2160
1997,2320
1998,2530
1999,2720
2000,2930
2001,3210
2002,3400
2003,3930
2004,4690
2005,5040
2006,5540
2007,5980
2008,6450
2009,6710
2010,7100
2011,7430
2012,7730
2013,7950
2014,8280
2015,8620
2016,9010
2017,9370
2018,9600
2019,9980
2020,10300
2021,10530
2022,10660
2023,10760
