Year,Cost
1990,2550
1991,3390
1992,3630
1993,3950
1994,4090
1995,4240
1996,4320
1997,4530
1998,4640
1999,4680
2000,4750
2001,4890
2002,5350
2003,6240
2004,6880
2005,7260
2006,7670
2007,8120
2008,8630
2009,9380
2010,9840
2011,10500
2012,11030
2013,11220
2014,11460
2015,11970
2016,12510
2017,12960
2018,13420
2019,13960
2020,14310
2021,14520
2022,15000
2023,15330
