Year,Cost
1990,1400
1991,1690
1992,1970
1993,2240
1994,2490
1995,2560
1996,2590
1997,2680
1998,2660
1999,2680
2000,2750
2001,2930
2002,3030
2003,3700
2004,4120
2005,4470
2006,4650
2007,5030
2008,5470
2009,6310
2010,7140
2011,8260
2012,8560
2013,8730
2014,8910
2015,9050
2016,9090
2017,9530
2018,9740
2019,9880
2020,10030
2021,10120
2022,10510
2023,10820
